parent_cdk,child_cdk,event_year,event_type,confidence_score,weight_type
WB_24parg_1961,WB_south2_1971,1971,SPLIT,1.0,none
WB_24parg_1961,WB_south2_1971,1971,SPLIT,1.0,none
WB_barddh_1951,WB_paschi_2011,2024,SPLIT,1.0,none
WB_barddh_1951,WB_purbab_2024,2024,SPLIT,1.0,none
WB_barddh_1951,WB_barddh_1951,1981,CONTINUITY,1.0,none
WB_barddh_1951,WB_barddh_1951,1981,CONTINUITY,1.0,none
WB_barddh_1951,WB_barddh_1951,1981,CONTINUITY,1.0,none
WB_kolkat_1951,WB_kolkat_1951,2001,CONTINUITY,1.0,none
WB_kochbi_1971,WB_kochbi_1971,1981,CONTINUITY,1.0,none
WB_darjil_1971,WB_darjil_1971,1981,CONTINUITY,1.0,none
WB_darjil_1971,WB_darjil_1971,1981,CONTINUITY,1.0,none
WB_darjil_1971,WB_kalimp_2024,2024,SPLIT,1.0,none
WB_hooghl_1971,WB_hugli_1981,1981,SPLIT,1.0,none
WB_haora_1971,WB_haora_1971,1981,CONTINUITY,1.0,none
WB_jalpai_2011,WB_alipur_2024,2024,SPLIT,1.0,none
WB_malda_1971,WB_maldah_1981,1981,SPLIT,1.0,none
WB_medini_1951,WB_paschi_2011,2011,SPLIT,1.0,none
WB_medini_1951,WB_purbam_2011,2011,SPLIT,1.0,none
WB_medini_1951,WB_paschi_2011,2011,SPLIT,1.0,none
WB_medini_1951,WB_medini_1951,1981,CONTINUITY,1.0,none
WB_medini_1951,WB_medini_1951,1981,CONTINUITY,1.0,none
WB_medini_1951,WB_medini_1951,1981,CONTINUITY,1.0,none
WB_medini_1951,WB_medini_1951,1961,CONTINUITY,1.0,none
WB_medini_1951,WB_medini_1951,1961,CONTINUITY,1.0,none
WB_medini_1951,WB_medini_1951,1961,CONTINUITY,1.0,none
WB_paschi_2011,WB_jhargr_2024,2024,SPLIT,1.0,none
WB_puruli_1971,WB_puruli_1971,1981,CONTINUITY,1.0,none
WB_south2_1971,WB_northt_1991,1991,SPLIT,1.0,none
WB_south2_1971,WB_southt_1991,1991,SPLIT,1.0,none
WB_dakshi_1991,WB_uttard_2001,2001,SPLIT,1.0,none
WB_dakshi_1991,WB_dakshi_1991,2001,CONTINUITY,1.0,none
UK_almora_1951,UK_pithor_1961,1961,SPLIT,1.0,none
UK_almora_1951,UK_pithor_1961,1961,SPLIT,1.0,none
UK_almora_1951,UK_bagesh_2001,2001,SPLIT,1.0,none
UK_chamol_1961,UK_rudrap_2001,2001,SPLIT,1.0,none
UK_dehrad_1991,UK_dehrad_1991,2001,CONTINUITY,1.0,none
UK_garhwa_1951,UK_chamol_1961,1961,SPLIT,1.0,none
UK_garhwa_1951,UK_chamol_1961,1961,SPLIT,1.0,none
UK_nainit_1971,UK_nainit_1971,1981,CONTINUITY,1.0,none
UK_nainit_1971,UK_nainit_1971,1981,CONTINUITY,1.0,none
UK_nainit_1971,UK_udhams_2001,2001,SPLIT,1.0,none
UK_pithor_1961,UK_champa_2001,2001,SPLIT,1.0,none
UK_sahara_1981,UK_hardwa_1991,1991,SPLIT,1.0,none
UK_tehri_1951,UK_uttark_1961,1961,SPLIT,1.0,none
UK_uttark_1961,UK_uttark_1961,1981,CONTINUITY,1.0,none
UK_uttark_1961,UK_uttark_1961,2001,CONTINUITY,1.0,none
UK_uttark_1961,UK_uttark_1961,1991,CONTINUITY,1.0,none
UP_agra_1981,UP_firoza_1991,1991,SPLIT,1.0,none
UP_aligar_1991,UP_hathra_2001,2001,SPLIT,1.0,none
UP_allaha_1951,UP_kausha_2001,2001,SPLIT,1.0,none
UP_allaha_1951,UP_prayag_2024,2024,SPLIT,1.0,none
UP_azamga_1981,UP_mau_1991,1991,SPLIT,1.0,none
UP_bahrai_1991,UP_shrawa_2001,2001,SPLIT,1.0,none
UP_varana_1951,UP_varana_1951,1961,CONTINUITY,1.0,none
UP_varana_1951,UP_varana_1951,1961,CONTINUITY,1.0,none
UP_varana_1951,UP_varana_1951,1961,CONTINUITY,1.0,none
UP_banda_1991,UP_chitra_2001,2001,SPLIT,1.0,none
UP_baraba_1991,UP_baraba_1991,2001,CONTINUITY,1.0,none
UP_baraba_1991,UP_baraba_1991,2011,CONTINUITY,1.0,none
UP_basti_1981,UP_siddha_1991,1991,SPLIT,1.0,none
UP_basti_1981,UP_santka_2001,2001,SPLIT,1.0,none
UP_budaun_2011,UP_sambha_2024,2024,SPLIT,1.0,none
UP_buland_1971,UP_ghazia_1981,1981,SPLIT,1.0,none
UP_buland_1971,UP_ghazia_1981,1981,SPLIT,1.0,none
UP_buland_1971,UP_gautam_2001,2001,SPLIT,1.0,none
UP_deoria_1991,UP_kushin_2001,2001,SPLIT,1.0,none
UP_etah_2001,UP_kanshi_2011,2011,SPLIT,1.0,none
UP_etawah_1991,UP_auraiy_2001,2001,SPLIT,1.0,none
UP_etawah_1991,UP_etawah_1991,2001,CONTINUITY,1.0,none
UP_etawah_1991,UP_etawah_1991,2011,CONTINUITY,1.0,none
UP_ayodhy_1991,UP_ambedk_2001,2001,SPLIT,1.0,none
UP_ayodhy_1991,UP_ayodhy_1991,2024,CONTINUITY,1.0,none
UP_farruk_1991,UP_kannau_2001,2001,SPLIT,1.0,none
UP_ghazia_1981,UP_gautam_2001,2001,SPLIT,1.0,none
UP_ghazia_1981,UP_hapurp_2024,2024,SPLIT,1.0,none
UP_gonda_1991,UP_balram_2001,2001,SPLIT,1.0,none
UP_gorakh_1981,UP_mahara_1991,1991,SPLIT,1.0,none
UP_hamirp_1991,UP_mahoba_2001,2001,SPLIT,1.0,none
UP_hathra_2001,UP_hathra_2001,2011,CONTINUITY,1.0,none
UP_jhansi_1971,UP_lalitp_1981,1981,SPLIT,1.0,none
UP_amroha_2001,UP_amroha_2001,2024,CONTINUITY,1.0,none
UP_kanpur_1951,UP_kanpur_1951,1991,CONTINUITY,1.0,none
UP_kanpur_1951,UP_kanpur_1951,1991,CONTINUITY,1.0,none
UP_kanshi_2011,UP_kasgan_2024,2024,SPLIT,1.0,none
UP_hathra_2001,UP_hathra_2001,2024,CONTINUITY,1.0,none
UP_mahara_1991,UP_mahraj_2011,2011,SPLIT,1.0,none
UP_mainpu_1981,UP_firoza_1991,1991,SPLIT,1.0,none
UP_meerut_1951,UP_ghazia_1981,1981,SPLIT,1.0,none
UP_meerut_1951,UP_ghazia_1981,1981,SPLIT,1.0,none
UP_meerut_1951,UP_baghpa_2001,2001,SPLIT,1.0,none
UP_mirzap_1981,UP_sonbha_1991,1991,SPLIT,1.0,none
UP_morada_1991,UP_amroha_2001,2001,SPLIT,1.0,none
UP_morada_1991,UP_sambha_2024,2024,SPLIT,1.0,none
UP_muzaff_2011,UP_shamli_2024,2024,SPLIT,1.0,none
UP_bhadoh_2001,UP_bhadoh_2001,2011,CONTINUITY,1.0,none
UP_bhadoh_2001,UP_bhadoh_2001,2024,CONTINUITY,1.0,none
UP_sultan_2011,UP_amethi_2024,2024,SPLIT,1.0,none
UP_varana_1951,UP_chanda_2001,2001,SPLIT,1.0,none
UP_varana_1951,UP_bhadoh_2001,2001,SPLIT,1.0,none
TR_northt_1971,TR_dhalai_2001,2001,SPLIT,1.0,none
TR_northt_1971,TR_unakot_2024,2024,SPLIT,1.0,none
TR_southt_1971,TR_gomati_2024,2024,SPLIT,1.0,none
TR_tripur_1951,TR_westtr_1971,1971,SPLIT,1.0,none
TR_tripur_1951,TR_southt_1971,1971,SPLIT,1.0,none
TR_tripur_1951,TR_northt_1971,1971,SPLIT,1.0,none
TR_tripur_1951,TR_northt_1971,1971,SPLIT,1.0,none
TR_tripur_1951,TR_southt_1971,1971,SPLIT,1.0,none
TR_tripur_1951,TR_westtr_1971,1971,SPLIT,1.0,none
TR_tripur_1951,TR_westtr_1971,1971,SPLIT,1.0,none
TR_tripur_1951,TR_northt_1971,1971,SPLIT,1.0,none
TR_westtr_1971,TR_khowai_2024,2024,SPLIT,1.0,none
TR_westtr_1971,TR_sipahi_2024,2024,SPLIT,1.0,none
TG_adilab_2011,TG_kumura_2024,2024,SPLIT,1.0,none
TG_adilab_2011,TG_manche_2024,2024,SPLIT,1.0,none
TG_adilab_2011,TG_nirmal_2024,2024,SPLIT,1.0,none
TG_hydera_1971,TG_rangar_1981,1981,SPLIT,1.0,none
TG_hydera_1971,TG_rangar_1981,1981,SPLIT,1.0,none
TG_hydera_1971,TG_rangar_1981,1981,SPLIT,1.0,none
TG_karimn_2011,TG_jagtia_2024,2024,SPLIT,1.0,none
TG_karimn_2011,TG_peddap_2024,2024,SPLIT,1.0,none
TG_karimn_2011,TG_rajann_2024,2024,SPLIT,1.0,none
TG_karimn_2011,TG_jayash_2024,2024,SPLIT,1.0,none
TG_karimn_2011,TG_siddip_2024,2024,SPLIT,1.0,none
TG_khamma_1961,TG_mulugu_2024,2024,SPLIT,1.0,none
TG_khamma_1961,TG_bhadra_2024,2024,SPLIT,1.0,none
TG_khamma_1961,TG_mahabu_2024,2024,SPLIT,1.0,none
TG_mahbub_2011,TG_jogula_2024,2024,SPLIT,1.0,none
TG_mahbub_2011,TG_nagark_2024,2024,SPLIT,1.0,none
TG_mahbub_2011,TG_wanapa_2024,2024,SPLIT,1.0,none
TG_mahbub_2011,TG_naraya_2024,2024,SPLIT,1.0,none
TG_medak_2011,TG_sangar_2024,2024,SPLIT,1.0,none
TG_medak_2011,TG_siddip_2024,2024,SPLIT,1.0,none
TG_nalgon_2011,TG_suryap_2024,2024,SPLIT,1.0,none
TG_nalgon_2011,TG_yadadr_2024,2024,SPLIT,1.0,none
TG_nalgon_2011,TG_jangao_2024,2024,SPLIT,1.0,none
TG_nizama_2011,TG_kamare_2024,2024,SPLIT,1.0,none
TG_rangar_1981,TG_rangar_1981,2011,CONTINUITY,1.0,none
TG_rangar_1981,TG_rangar_1981,2011,CONTINUITY,1.0,none
TG_rangar_1981,TG_rangar_1981,2011,CONTINUITY,1.0,none
TG_rangar_1981,TG_medcha_2024,2024,SPLIT,1.0,none
TG_rangar_1981,TG_vikara_2024,2024,SPLIT,1.0,none
TG_warang_1951,TG_khamma_1961,1961,SPLIT,1.0,none
TG_warang_1951,TG_khamma_1961,1961,SPLIT,1.0,none
TG_warang_1951,TG_khamma_1961,1961,SPLIT,1.0,none
TG_warang_1951,TG_khamma_1961,1961,SPLIT,1.0,none
TG_warang_1951,TG_warang_1951,2024,CONTINUITY,1.0,none
TG_warang_1951,TG_warang_1951,2024,CONTINUITY,1.0,none
TG_warang_1951,TG_jayash_2024,2024,SPLIT,1.0,none
TG_warang_1951,TG_mahabu_2024,2024,SPLIT,1.0,none
TG_warang_1951,TG_jangao_2024,2024,SPLIT,1.0,none
TG_warang_1951,TG_mulugu_2024,2024,SPLIT,1.0,none
TN_chenga_1951,TN_chenga_1951,1991,CONTINUITY,1.0,none
TN_chenga_1951,TN_chenga_1951,1991,CONTINUITY,1.0,none
TN_chenga_1951,TN_chenga_1951,1991,CONTINUITY,1.0,none
TN_chenga_1951,TN_thiruv_1951,2001,SPLIT,1.0,none
TN_chenga_1951,TN_chenga_1951,2001,CONTINUITY,1.0,none
TN_chenga_1951,TN_chenga_1951,2001,CONTINUITY,1.0,none
TN_chidam_1991,TN_thooth_2001,2001,SPLIT,1.0,none
TN_chenga_1951,TN_chenga_1951,1971,CONTINUITY,1.0,none
TN_chenga_1951,TN_chenga_1951,1971,CONTINUITY,1.0,none
TN_chenga_1951,TN_chenga_1951,1971,CONTINUITY,1.0,none
TN_coimba_1951,TN_periya_1981,1981,SPLIT,1.0,none
TN_coimba_1951,TN_periya_1981,1981,SPLIT,1.0,none
TN_coimba_1951,TN_tirupp_2011,2011,SPLIT,1.0,none
TN_dharma_1971,TN_krishn_2011,2011,SPLIT,1.0,none
TN_dindig_1991,TN_dindig_1991,2001,CONTINUITY,1.0,none
TN_erode_2001,TN_tirupp_2011,2011,SPLIT,1.0,none
TN_kamara_1991,TN_virudh_2001,2001,SPLIT,1.0,none
TN_chenga_1951,TN_chenga_1951,2024,CONTINUITY,1.0,none
TN_kanniy_1961,TN_kanniy_1961,1971,CONTINUITY,1.0,none
TN_chenna_1991,TN_chenna_1991,2001,CONTINUITY,1.0,none
TN_madura_1951,TN_dindig_1991,1991,SPLIT,1.0,none
TN_madura_1951,TN_theni_2001,2001,SPLIT,1.0,none
TN_nagapa_2001,TN_mayila_2024,2024,SPLIT,1.0,none
TN_nilgir_1951,TN_nilgir_1951,1971,CONTINUITY,1.0,none
TN_nilgir_1951,TN_nilgir_1951,2001,CONTINUITY,1.0,none
TN_nilgir_1951,TN_nilgir_1951,1961,CONTINUITY,1.0,none
TN_nilgir_1951,TN_nilgir_1951,1981,CONTINUITY,1.0,none
TN_narcot_1981,TN_narcot_1981,1991,CONTINUITY,1.0,none
TN_narcot_1981,TN_tiruva_1991,1991,SPLIT,1.0,none
TN_narcot_1981,TN_narcot_1981,1991,CONTINUITY,1.0,none
TN_narcot_1981,TN_narcot_1981,1991,CONTINUITY,1.0,none
TN_narcot_1981,TN_vellor_2001,2001,SPLIT,1.0,none
TN_narcot_1981,TN_vellor_2001,2001,SPLIT,1.0,none
TN_narcot_1981,TN_vellor_2001,2001,SPLIT,1.0,none
TN_pasump_1991,TN_sivaga_2001,2001,SPLIT,1.0,none
TN_peramb_2001,TN_ariyal_2011,2011,SPLIT,1.0,none
TN_periya_1981,TN_erode_2001,2001,SPLIT,1.0,none
TN_periya_1981,TN_erode_2001,2001,SPLIT,1.0,none
TN_ramana_1981,TN_pasump_1991,1991,SPLIT,1.0,none
TN_ramana_1981,TN_kamara_1991,1991,SPLIT,1.0,none
TN_salem_1961,TN_dharma_1971,1971,SPLIT,1.0,none
TN_salem_1961,TN_dharma_1971,1971,SPLIT,1.0,none
TN_salem_1961,TN_namakk_2001,2001,SPLIT,1.0,none
TN_cuddal_1991,TN_vilupp_2001,2001,SPLIT,1.0,none
TN_cuddal_1991,TN_cuddal_1991,2001,CONTINUITY,1.0,none
TN_cuddal_1991,TN_vilupp_2001,2001,SPLIT,1.0,none
TN_thanja_1951,TN_thanja_1951,1961,CONTINUITY,1.0,none
TN_thanja_1951,TN_thanja_1951,1961,CONTINUITY,1.0,none
TN_thanja_1951,TN_thanja_1951,1961,CONTINUITY,1.0,none
TN_thanja_1951,TN_thanja_1951,1961,CONTINUITY,1.0,none
TN_thanja_1951,TN_thanja_1951,1961,CONTINUITY,1.0,none
TN_thanja_1951,TN_pudukk_1981,1981,SPLIT,1.0,none
TN_thanja_1951,TN_nagapa_2001,2001,SPLIT,1.0,none
TN_thanja_1951,TN_thiruv_1951,2001,SPLIT,1.0,none
TN_thanja_1951,TN_nagapa_2001,2001,SPLIT,1.0,none
TN_tiruch_1971,TN_karur_2001,2001,SPLIT,1.0,none
TN_tiruch_1971,TN_peramb_2001,2001,SPLIT,1.0,none
TN_tiruch_1971,TN_peramb_2001,2001,SPLIT,1.0,none
TN_tiruch_1971,TN_tiruch_1971,2011,CONTINUITY,1.0,none
TN_tiruch_1971,TN_tiruch_1971,1981,CONTINUITY,1.0,none
TN_tiruch_1971,TN_tiruch_1971,1981,CONTINUITY,1.0,none
TN_tiruch_1971,TN_tiruch_1971,1981,CONTINUITY,1.0,none
TN_tiruch_1971,TN_tiruch_1971,1981,CONTINUITY,1.0,none
TN_tiruch_1971,TN_pudukk_1981,1981,SPLIT,1.0,none
TN_tirune_1981,TN_chidam_1991,1991,SPLIT,1.0,none
TN_tirune_1981,TN_tirune_1981,1991,CONTINUITY,1.0,none
TN_tirune_1981,TN_tirune_1981,1991,CONTINUITY,1.0,none
TN_tirune_1981,TN_tenkas_2024,2024,SPLIT,1.0,none
TN_tirune_1981,TN_tirune_1981,2001,CONTINUITY,1.0,none
TN_tirune_1981,TN_tirune_1981,2001,CONTINUITY,1.0,none
TN_tiruva_1991,TN_tiruva_1991,2011,CONTINUITY,1.0,none
TN_tiruva_1991,TN_tiruva_1991,2001,CONTINUITY,1.0,none
TN_thooth_2001,TN_thooth_2001,2011,CONTINUITY,1.0,none
TN_thiruv_1951,TN_kanniy_1961,1961,SPLIT,1.0,none
TN_vellor_2001,TN_tirupa_2024,2024,SPLIT,1.0,none
TN_vellor_2001,TN_ranipe_2024,2024,SPLIT,1.0,none
TN_vilupp_2001,TN_kallak_2024,2024,SPLIT,1.0,none
SK_east_2001,SK_gangto_2024,2024,SPLIT,1.0,none
SK_east_2001,SK_pakyon_2024,2024,SPLIT,1.0,none
SK_eastdi_1981,SK_east_2001,2001,SPLIT,1.0,none
SK_eastdi_1981,SK_east_2001,2001,SPLIT,1.0,none
SK_north_2001,SK_mangan_2024,2024,SPLIT,1.0,none
SK_northd_1981,SK_north_2001,2001,SPLIT,1.0,none
SK_sikkim_1971,SK_eastdi_1981,1981,SPLIT,1.0,none
SK_sikkim_1971,SK_westdi_1981,1981,SPLIT,1.0,none
SK_sikkim_1971,SK_southd_1981,1981,SPLIT,1.0,none
SK_sikkim_1971,SK_northd_1981,1981,SPLIT,1.0,none
SK_sikkim_1971,SK_eastdi_1981,1981,SPLIT,1.0,none
SK_sikkim_1971,SK_westdi_1981,1981,SPLIT,1.0,none
SK_south_2001,SK_namchi_2024,2024,SPLIT,1.0,none
SK_southd_1981,SK_south_2001,2001,SPLIT,1.0,none
SK_west_2001,SK_gyalsh_2024,2024,SPLIT,1.0,none
SK_west_2001,SK_soreng_2024,2024,SPLIT,1.0,none
SK_westdi_1981,SK_west_2001,2001,SPLIT,1.0,none
SK_westdi_1981,SK_west_2001,2001,SPLIT,1.0,none
RJ_bharat_1981,RJ_dhaulp_1991,1991,SPLIT,1.0,none
RJ_chitto_1951,RJ_chitto_1951,1971,CONTINUITY,1.0,none
RJ_chitto_1951,RJ_chitto_1951,1971,CONTINUITY,1.0,none
RJ_chitto_1951,RJ_pratap_2011,2011,SPLIT,1.0,none
RJ_chitto_1951,RJ_chitto_1951,1961,CONTINUITY,1.0,none
RJ_chitto_1951,RJ_chitto_1951,1961,CONTINUITY,1.0,none
RJ_gangan_1991,RJ_hanuma_2001,2001,SPLIT,1.0,none
RJ_jaipur_1951,RJ_dausa_2001,2001,SPLIT,1.0,none
RJ_jalore_1951,RJ_jalore_1951,1961,CONTINUITY,1.0,none
RJ_jhunjh_1961,RJ_jhunjh_1961,1971,CONTINUITY,1.0,none
RJ_kota_1951,RJ_baran_2001,2001,SPLIT,1.0,none
RJ_kotah_1951,RJ_kota_1951,1961,SPLIT,1.0,none
RJ_kotah_1951,RJ_kota_1951,1961,SPLIT,1.0,none
RJ_sawaim_1951,RJ_karaul_2001,2001,SPLIT,1.0,none
RJ_sawaim_1951,RJ_sawaim_1951,1961,CONTINUITY,1.0,none
RJ_sawaim_1951,RJ_sawaim_1951,1961,CONTINUITY,1.0,none
RJ_udaipu_1951,RJ_rajsam_2001,2001,SPLIT,1.0,none
PB_amrits_2001,PB_tarnta_2011,2011,SPLIT,1.0,none
PB_barnal_1951,PB_sangru_1951,1961,SPLIT,1.0,none
PB_bhatin_1951,PB_mansa_2001,2001,SPLIT,1.0,none
PB_bhatin_1951,PB_faridk_1981,1981,SPLIT,1.0,none
PB_bhatin_1951,PB_faridk_1981,1981,SPLIT,1.0,none
PB_bhatin_1951,PB_faridk_1981,1981,SPLIT,1.0,none
PB_bhatin_1951,PB_bhatin_1951,1981,CONTINUITY,1.0,none
PB_bhatin_1951,PB_bhatin_1951,1981,CONTINUITY,1.0,none
PB_faridk_1981,PB_moga_2001,2001,SPLIT,1.0,none
PB_faridk_1981,PB_srimuk_2001,2001,SPLIT,1.0,none
PB_fatehg_1951,PB_patial_1951,1961,SPLIT,1.0,none
PB_firozp_1951,PB_firozp_1951,1971,CONTINUITY,1.0,none
PB_firozp_1951,PB_firozp_1951,1971,CONTINUITY,1.0,none
PB_firozp_1951,PB_firozp_1951,1971,CONTINUITY,1.0,none
PB_firozp_1951,PB_faridk_1981,1981,SPLIT,1.0,none
PB_firozp_1951,PB_fazilk_2024,2024,SPLIT,1.0,none
PB_gurdas_1951,PB_pathan_2024,2024,SPLIT,1.0,none
PB_hoshia_1961,PB_ropar_1971,1971,SPLIT,1.0,none
PB_hoshia_1961,PB_ropar_1971,1971,SPLIT,1.0,none
PB_hoshia_1961,PB_shahid_2001,2001,SPLIT,1.0,none
PB_jaland_1971,PB_shahid_2001,2001,SPLIT,1.0,none
PB_jaland_1971,PB_jaland_1971,1981,CONTINUITY,1.0,none
PB_jaland_1971,PB_jaland_1971,1981,CONTINUITY,1.0,none
PB_srimuk_2001,PB_srimuk_2001,2024,CONTINUITY,1.0,none
PB_shahid_2001,PB_shahid_2001,2011,CONTINUITY,1.0,none
PB_shahid_2001,PB_shahid_2001,2011,CONTINUITY,1.0,none
PB_patial_1951,PB_fatehg_1951,2001,SPLIT,1.0,none
PB_patial_1951,PB_mohali_2011,2011,SPLIT,1.0,none
PB_ropar_1971,PB_rupnag_1981,1981,SPLIT,1.0,none
PB_ropar_1971,PB_rupnag_1981,1981,SPLIT,1.0,none
PB_rupnag_1981,PB_mohali_2011,2011,SPLIT,1.0,none
PB_sangru_1951,PB_barnal_1951,2011,SPLIT,1.0,none
PB_sangru_1951,PB_malerk_2024,2024,SPLIT,1.0,none
PY_puduch_2001,PY_puduch_2001,2011,CONTINUITY,1.0,none
OD_balang_1981,OD_sonapu_2001,2001,SPLIT,1.0,none
OD_balaso_1971,OD_balesh_1981,1981,SPLIT,1.0,none
OD_balaso_1971,OD_balesh_1981,1981,SPLIT,1.0,none
OD_balesh_1981,OD_bhadra_2001,2001,SPLIT,1.0,none
OD_baudh_1951,OD_baudh_1951,1981,CONTINUITY,1.0,none
OD_baudh_1951,OD_baudh_1951,1981,CONTINUITY,1.0,none
OD_bolang_1971,OD_balang_1981,1981,SPLIT,1.0,none
OD_bolang_1971,OD_balang_1981,1981,SPLIT,1.0,none
OD_cuttac_1991,OD_kendra_2001,2001,SPLIT,1.0,none
OD_cuttac_1991,OD_jagats_2001,2001,SPLIT,1.0,none
OD_cuttac_1991,OD_jajapu_2001,2001,SPLIT,1.0,none
OD_dhenka_1991,OD_anugul_2001,2001,SPLIT,1.0,none
OD_ganjam_1991,OD_gajapa_2001,2001,SPLIT,1.0,none
OD_kalaha_1991,OD_nuapad_2001,2001,SPLIT,1.0,none
OD_keonjh_1971,OD_kenduj_1981,1981,SPLIT,1.0,none
OD_korapu_1991,OD_rayaga_2001,2001,SPLIT,1.0,none
OD_korapu_1991,OD_nabara_2001,2001,SPLIT,1.0,none
OD_korapu_1991,OD_malkan_2001,2001,SPLIT,1.0,none
OD_baudh_1951,OD_kandha_2001,2001,SPLIT,1.0,none
OD_baudh_1951,OD_baudh_1951,2001,CONTINUITY,1.0,none
OD_baudh_1951,OD_baudh_1951,1961,CONTINUITY,1.0,none
OD_baudh_1951,OD_baudh_1951,1961,CONTINUITY,1.0,none
OD_puri_1991,OD_nayaga_2001,2001,SPLIT,1.0,none
OD_puri_1991,OD_khordh_2001,2001,SPLIT,1.0,none
OD_sambal_1991,OD_bargar_2001,2001,SPLIT,1.0,none
OD_sambal_1991,OD_jharsu_2001,2001,SPLIT,1.0,none
OD_sambal_1991,OD_debaga_2001,2001,SPLIT,1.0,none
OD_sonapu_2001,OD_subarn_2011,2011,SPLIT,1.0,none
NC_delhi_1991,NC_northw_2001,2001,SPLIT,1.0,none
NC_delhi_1991,NC_north_2001,2001,SPLIT,1.0,none
NC_delhi_1991,NC_northe_2001,2001,SPLIT,1.0,none
NC_delhi_1991,NC_east_2001,2001,SPLIT,1.0,none
NC_delhi_1991,NC_newdel_2001,2001,SPLIT,1.0,none
NC_delhi_1991,NC_centra_2001,2001,SPLIT,1.0,none
NC_delhi_1991,NC_west_2001,2001,SPLIT,1.0,none
NC_delhi_1991,NC_southw_2001,2001,SPLIT,1.0,none
NC_delhi_1991,NC_south_2001,2001,SPLIT,1.0,none
NL_dimapu_2001,NL_chumou_2024,2024,SPLIT,1.0,none
NL_dimapu_2001,NL_niulan_2024,2024,SPLIT,1.0,none
NL_kohima_1951,NL_phek_1981,1981,SPLIT,1.0,none
NL_kohima_1951,NL_dimapu_2001,2001,SPLIT,1.0,none
NL_kohima_1951,NL_dimapu_2001,2001,SPLIT,1.0,none
NL_kohima_1951,NL_dimapu_2001,2001,SPLIT,1.0,none
NL_kohima_1951,NL_peren_2011,2011,SPLIT,1.0,none
NL_kohima_1951,NL_tsemin_2024,2024,SPLIT,1.0,none
NL_mokokc_1961,NL_wokha_1981,1981,SPLIT,1.0,none
NL_mokokc_1961,NL_zunheb_1981,1981,SPLIT,1.0,none
NL_kohima_1951,NL_kohima_1951,1961,CONTINUITY,1.0,none
NL_kohima_1951,NL_kohima_1951,1961,CONTINUITY,1.0,none
NL_kohima_1951,NL_kohima_1951,1961,CONTINUITY,1.0,none
NL_kohima_1951,NL_kohima_1951,1961,CONTINUITY,1.0,none
NL_kohima_1951,NL_kohima_1951,1961,CONTINUITY,1.0,none
NL_kohima_1951,NL_kohima_1951,1961,CONTINUITY,1.0,none
NL_kohima_1951,NL_kohima_1951,1961,CONTINUITY,1.0,none
NL_tuensa_1951,NL_mokokc_1961,1961,SPLIT,1.0,none
NL_tuensa_1951,NL_mokokc_1961,1961,SPLIT,1.0,none
NL_tuensa_1951,NL_mokokc_1961,1961,SPLIT,1.0,none
NL_tuensa_1951,NL_mon_1981,1981,SPLIT,1.0,none
NL_tuensa_1951,NL_longle_2011,2011,SPLIT,1.0,none
NL_tuensa_1951,NL_kiphir_2011,2011,SPLIT,1.0,none
NL_tuensa_1951,NL_noklak_2024,2024,SPLIT,1.0,none
MZ_aizawl_1981,MZ_mamit_2001,2001,SPLIT,1.0,none
MZ_aizawl_1981,MZ_kolasi_2001,2001,SPLIT,1.0,none
MZ_aizawl_1981,MZ_champh_2001,2001,SPLIT,1.0,none
MZ_aizawl_1981,MZ_serchh_2001,2001,SPLIT,1.0,none
MZ_aizawl_1981,MZ_champh_2001,2001,SPLIT,1.0,none
MZ_aizawl_1981,MZ_saitua_2024,2024,SPLIT,1.0,none
MZ_champh_2001,MZ_khawza_2024,2024,SPLIT,1.0,none
MZ_chhimt_1981,MZ_lawngt_2001,2001,SPLIT,1.0,none
MZ_chhimt_1981,MZ_saiha_2001,2001,SPLIT,1.0,none
MZ_lungle_1981,MZ_hnathi_2024,2024,SPLIT,1.0,none
