cdk,district_name,state_name,creation_year,abolition_year,creation_type,start_year,end_year,predecessors,successors,hierarchy_level
WB_24parg_1961,24 - Parganas,West Bengal,1961.0,,Unknown,,,,,
WB_south2_1971,Twenty Four Parganas,West Bengal,1971.0,,Bifurcation,,,,,
WB_barddh_1951,Barddhaman,West Bengal,1951.0,,Original,,,,,
WB_paschi_2011,Pashchim Barddhaman,West Bengal,2011.0,,Bifurcation,,,,,
WB_purbab_2024,Purba Barddhaman,West Bengal,2024.0,,Bifurcation,,,,,
WB_kolkat_1951,Calcutta,West Bengal,1951.0,,Original,,,,,
WB_kochbi_1971,Cooch Behar,West Bengal,1971.0,,Unknown,,,,,
WB_darjil_1971,Darjeeling,West Bengal,1971.0,,Unknown,,,,,
WB_kalimp_2024,Kalimpong,West Bengal,2024.0,,Bifurcation,,,,,
WB_hooghl_1971,Hooghly,West Bengal,1971.0,,Unknown,,,,,
WB_hugli_1981,Hugli,West Bengal,1981.0,,Bifurcation,,,,,
WB_haora_1971,Howrah,West Bengal,1971.0,,Unknown,,,,,
WB_jalpai_2011,Jalpaiguri,West Bengal,2011.0,,Unknown,,,,,
WB_alipur_2024,Alipurduar,West Bengal,2024.0,,Bifurcation,,,,,
WB_malda_1971,Malda,West Bengal,1971.0,,Unknown,,,,,
WB_maldah_1981,Maldah,West Bengal,1981.0,,Bifurcation,,,,,
WB_medini_1951,Medinipur,West Bengal,1951.0,,Original,,,,,
WB_purbam_2011,Purba Medinipur,West Bengal,2011.0,,Bifurcation,,,,,
WB_jhargr_2024,Jhargram,West Bengal,2024.0,,Bifurcation,,,,,
WB_puruli_1971,Purulia,West Bengal,1971.0,,Unknown,,,,,
WB_northt_1991,North Twenty Four Parganas,West Bengal,1991.0,,Bifurcation,,,,,
WB_southt_1991,South Twenty Four Parganas,West Bengal,1991.0,,Bifurcation,,,,,
WB_dakshi_1991,West Dinajpur,West Bengal,1991.0,,Unknown,,,,,
WB_uttard_2001,Uttar Dinajpur,West Bengal,2001.0,,Bifurcation,,,,,
UK_almora_1951,Almora,Uttarakhand,1951.0,,Original,,,,,
UK_pithor_1961,Pithoragarh,Uttarakhand,1961.0,,Bifurcation,,,,,
UK_bagesh_2001,Bageshwar,Uttarakhand,2001.0,,Bifurcation,,,,,
UK_chamol_1961,Chamoli,Uttarakhand,1961.0,,Unknown,,,,,
UK_rudrap_2001,Rudraprayag,Uttarakhand,2001.0,,Bifurcation,,,,,
UK_dehrad_1991,Dehra Dun,Uttarakhand,1991.0,,Unknown,,,,,
UK_garhwa_1951,Garhwal,Uttarakhand,1951.0,,Original,,,,,
