cdk,district_name,year,geometry_ref,area_sqkm
AR_tirapf_1951,Tirap Frontier Division,1961,AR_tirapf_1951_geometry,0.0
RJ_kotah_1951,Kotah,1951,RJ_kotah_1951_geometry,0.0
UK_garhwa_1951,Garhwal,1951,UK_garhwa_1951_geometry,0.0
MH_solapu_1981,Solapur,1981,MH_solapu_1981_geometry,0.0
ML_northg_2024,North Garo Hills,2024,ML_northg_2024_geometry,0.0
UP_etawah_1991,Etawah,1991,UP_etawah_1991_geometry,0.0
AR_westka_1981,West Kameng,1981,AR_westka_1981_geometry,0.0
HR_guruga_1951,Gurgaon,1971,HR_guruga_1951_geometry,0.0
KL_kollam_1951,Quilon,1951,KL_kollam_1951_geometry,0.0
AP_palnad_2024,Palnadu,2024,AP_palnad_2024_geometry,0.0
UP_hathra_2001,Mahamaya Nagar,2011,UP_hathra_2001_geometry,0.0
AS_hojai_2024,Hojai,2024,AS_hojai_2024_geometry,0.0
AR_kameng_1961,Kameng Frontier,1961,AR_kameng_1961_geometry,0.0
WB_dakshi_1991,West Dinajpur,1991,WB_dakshi_1991_geometry,0.0
BR_patna_1971,Patna,1971,BR_patna_1971_geometry,0.0
AP_chitto_2011,Chittoor,2011,AP_chitto_2011_geometry,0.0
MN_manipu_1951,Manipur,1961,MN_manipu_1951_geometry,0.0
JH_palamu_1971,Palamu,1981,JH_palamu_1971_geometry,0.0
NL_longle_2011,Longleng,2011,NL_longle_2011_geometry,0.0
AR_longdi_2024,Longding,2024,AR_longdi_2024_geometry,0.0
TR_tripur_1951,Tripura,1961,TR_tripur_1951_geometry,0.0
SK_westdi_1981,West District,1981,SK_westdi_1981_geometry,0.0
NL_kohima_1951,Kohima,1971,NL_kohima_1951_geometry,0.0
TG_khamma_1961,Khammam,2011,TG_khamma_1961_geometry,0.0
UP_aligar_1991,Aligarh,1991,UP_aligar_1991_geometry,0.0
KL_kannur_1961,Kannur,1991,KL_kannur_1961_geometry,0.0
DL_northe_2001,North East,2001,DL_northe_2001_geometry,0.0
NL_mokokc_1961,Mokokchung,1971,NL_mokokc_1961_geometry,0.0
MH_akola_1991,Akola,1991,MH_akola_1991_geometry,0.0
BR_nawada_1981,Nawada,2001,BR_nawada_1981_geometry,0.0
WB_alipur_2024,Alipurduar,2024,WB_alipur_2024_geometry,0.0
NC_southw_2001,South West,2001,NC_southw_2001_geometry,0.0
AR_eastka_1981,East Kameng,1981,AR_eastka_1981_geometry,0.0
UP_bhadoh_2001,Bhadohi,2024,UP_bhadoh_2001_geometry,0.0
MH_gadchi_1991,Gadchiroli,1991,MH_gadchi_1991_geometry,0.0
TN_sivaga_2001,Sivaganga,2001,TN_sivaga_2001_geometry,0.0
AR_lohitf_1961,Lohit Frontier Division,1961,AR_lohitf_1961_geometry,0.0
KA_tumaku_2011,Tumkur,2011,KA_tumaku_2011_geometry,0.0
MN_tengno_1951,Tengnoupal,2024,MN_tengno_1951_geometry,0.0
HR_palwal_2011,Palwal,2011,HR_palwal_2011_geometry,0.0
TG_jogula_2024,Jogulamba Gadwal,2024,TG_jogula_2024_geometry,0.0
SK_west_2001,West,2011,SK_west_2001_geometry,0.0
MP_khargo_1961,West Nimar,1961,MP_khargo_1961_geometry,0.0
TG_rangar_1981,Rangareddi,2001,TG_rangar_1981_geometry,0.0
MN_manipu_1951,Manipur Central,1971,MN_manipu_1951_geometry,0.0
CG_jashpu_2001,Jashpur,2001,CG_jashpu_2001_geometry,0.0
KA_mysuru_1991,Mysore,1991,KA_mysuru_1991_geometry,0.0
PB_faridk_1981,Faridkot,1981,PB_faridk_1981_geometry,0.0
MZ_serchh_2001,Serchhip,2001,MZ_serchh_2001_geometry,0.0
HP_kohist_1951,Kohistan,1951,HP_kohist_1951_geometry,0.0
KL_kottay_1951,Kottayam,1971,KL_kottay_1951_geometry,0.0
KA_belgau_2011,Belgaum,2011,KA_belgau_2011_geometry,0.0
AS_dhubri_2011,Dhubri,2011,AS_dhubri_2011_geometry,0.0
AR_dibang_1981,Dibang Valley,2001,AR_dibang_1981_geometry,0.0
AS_dhubur_1991,Dhuburi,2001,AS_dhubur_1991_geometry,0.0
UP_sonbha_1991,Sonbhadra,1991,UP_sonbha_1991_geometry,0.0
TN_chenga_1951,Chengalpattu,2024,TN_chenga_1951_geometry,0.0
KA_bangal_1981,Bangalore,1981,KA_bangal_1981_geometry,0.0
UP_hamirp_1991,Hamirpur,1991,UP_hamirp_1991_geometry,0.0
BR_gopalg_1981,Gopalganj,1981,BR_gopalg_1981_geometry,0.0
AP_sripot_1971,Nellore,1971,AP_sripot_1971_geometry,0.0
TN_nilgir_1951,Nilgiri,1981,TN_nilgir_1951_geometry,0.0
TN_vilupp_2001,Viluppuram,2011,TN_vilupp_2001_geometry,0.0
UK_dehrad_1991,Dehradun,2001,UK_dehrad_1991_geometry,0.0
RJ_sawaim_1951,Sawai Madhopur,1961,RJ_sawaim_1951_geometry,0.0
MP_aliraj_2011,Alirajpur,2011,MP_aliraj_2011_geometry,0.0
MH_sangli_1961,Sangli,1961,MH_sangli_1961_geometry,0.0
OD_balang_1981,Balangir,1991,OD_balang_1981_geometry,0.0
TN_kanniy_1961,Kanniyakumari,1971,TN_kanniy_1961_geometry,0.0
JH_dumka_1991,Dumka,2001,JH_dumka_1991_geometry,0.0
OD_rayaga_2001,Rayagada,2001,OD_rayaga_2001_geometry,0.0
GJ_mahesa_1961,Mehsana,1961,GJ_mahesa_1961_geometry,0.0
PB_hoshia_1961,Hoshiarpur,1961,PB_hoshia_1961_geometry,0.0
GJ_morbi_2024,Morbi,2024,GJ_morbi_2024_geometry,0.0
AN_nicoba_1981,Nicobars,1991,AN_nicoba_1981_geometry,0.0
OD_jagats_2001,Jagatsinghapur,2001,OD_jagats_2001_geometry,0.0
GJ_devbhu_2024,Devbhumi Dwarka,2024,GJ_devbhu_2024_geometry,0.0
GJ_sabark_1961,Sabar Kantha,1971,GJ_sabark_1961_geometry,0.0
TN_tirupp_2011,Tiruppur,2011,TN_tirupp_2011_geometry,0.0
UP_morada_1991,Moradabad,2011,UP_morada_1991_geometry,0.0
ML_ribhoi_2001,Ri Bhoi,2001,ML_ribhoi_2001_geometry,0.0
JK_jammua_1951,Jammu and Kashmir,1951,JK_jammua_1951_geometry,0.0
TN_dharma_1971,Dharmapuri,1971,TN_dharma_1971_geometry,0.0
MP_shajap_2011,Shajapur,2011,MP_shajap_2011_geometry,0.0
AR_namsai_2024,Namsai,2024,AR_namsai_2024_geometry,0.0
KA_bengal_2024,Bengaluru South,2024,KA_bengal_2024_geometry,0.0
KA_dharwa_1971,Dharwar,1971,KA_dharwa_1971_geometry,0.0
WB_hooghl_1971,Hooghly,1971,WB_hooghl_1971_geometry,0.0
JH_purbis_1991,Purbi Singhbhum,1991,JH_purbis_1991_geometry,0.0
CG_bemeta_2024,Bemetara,2024,CG_bemeta_2024_geometry,0.0
GJ_centra_1951,Central Saurashtra,1951,GJ_centra_1951_geometry,0.0
