years_since_split,log_yield_raw,log_yield_harmonized,yl_detrend,bias
-5,7.186839062549871,7.165234891295768,-0.04255193568251221,0.0216041712541033
-4,7.20129988990703,7.165228474316436,-0.02387077855358313,0.03607141559059457
-3,7.176503358420124,7.177546082162872,-0.019723501520862382,-0.0010427237427474978
-2,7.2063022372959775,7.203834662829368,-0.004973695584709449,0.002467574466609612
-1,7.139805218805315,7.144681830387707,-0.02527288585599262,-0.004876611582392165
0,7.215988393367129,7.215988393367129,-0.026217877401750078,0.0
1,7.139727093609849,7.139727093609849,-0.030815304178679524,0.0
2,7.258837566072225,7.258837566072225,-0.015094273073104392,0.0
3,7.244974731777228,7.244974731777228,0.001127288790990292,0.0
4,7.226016577766985,7.226016577766985,-0.029140393911037378,0.0
5,7.30195201906123,7.30195201906123,0.005236082896528676,0.0
